Date,Open,High,Low,Close,Adj Close,Volume
2005-01-01,29.309999,31.488899,26.933300,30.255600,3.723604,509287590
2005-02-01,29.577801,30.639999,27.555599,28.757799,3.539267,346741020
2005-03-01,28.494400,31.031099,27.866699,29.823299,3.670400,363545235
2005-04-01,29.666700,32.755600,29.379999,31.948900,3.932001,292805415
2005-05-01,32.000000,35.882198,30.048901,35.538898,4.373828,401999220
2005-06-01,35.555599,37.322201,33.891102,36.935600,4.545723,424995210
2005-07-01,36.666698,39.860001,36.244400,37.396702,4.602470,354969225
2005-08-01,37.555599,39.333302,36.777802,38.481098,22.467068,295424370
2005-09-01,38.555599,49.500000,37.707802,45.583302,26.613661,568235655
2005-10-01,45.416698,46.066700,38.133301,40.066700,23.392817,593253306
2005-11-01,40.799999,46.716702,40.000000,44.833302,26.175777,494618838
2005-12-01,45.000000,48.666698,44.166698,47.366699,27.654898,455622372
2006-01-01,47.333302,52.933300,44.000000,51.599998,30.126495,373177431
2006-02-01,51.666698,58.549999,50.316700,57.483299,33.561440,385450065
2006-03-01,57.500000,68.166702,56.366699,65.050003,37.979229,480477048
2006-04-01,65.216698,69.500000,60.666698,67.916702,39.652946,374956950
2006-05-01,68.166702,70.833298,48.333302,55.133301,32.189404,525810273
2006-06-01,56.000000,61.333302,46.833302,60.799999,35.497887,631363020
2006-07-01,61.000000,62.299999,53.750000,55.799999,32.578644,405033333
2006-08-01,55.900002,64.199997,55.233299,63.833302,39.041447,284298303
2006-09-01,63.533298,64.333298,58.666698,62.566700,38.266781,287406888
2006-10-01,62.566700,65.566704,60.666698,63.333302,38.735638,233871861
2006-11-01,63.666698,64.266701,58.000000,61.700001,37.736691,253870653
2006-12-01,62.000000,63.983299,55.500000,58.700001,35.901844,246480879
2007-01-01,58.700001,60.333302,53.366699,58.200001,35.596035,312245346
2007-02-01,57.700001,60.000000,51.700001,57.233299,35.004787,280468125
2007-03-01,57.566700,58.333302,43.333302,50.383301,30.815220,592274973
2007-04-01,50.400002,54.666698,48.683300,53.349998,32.629700,293013081
2007-05-01,53.349998,57.333302,52.966702,54.599998,33.394218,258008382
2007-06-01,54.200001,55.266701,48.333302,51.566700,31.539003,293090742
2007-07-01,51.666698,59.966702,48.333302,57.000000,34.862099,486190755
2007-08-01,56.833302,58.316700,50.583302,56.933300,37.038616,360572898
2007-09-01,56.883301,65.000000,56.666698,63.266701,41.158882,306287265
2007-10-01,63.583302,64.300003,56.750000,59.633301,38.795132,338219589
2007-11-01,59.400002,70.466698,55.000000,62.783298,40.844398,388474950
2007-12-01,63.633301,70.633301,61.466702,69.816704,45.420059,313362372
2008-01-01,70.666702,79.800003,56.333302,65.183296,42.405746,651274881
2008-02-01,64.083298,71.000000,59.666698,67.583298,43.967091,297288906
2008-03-01,66.099998,70.266701,60.116699,68.750000,44.726105,405339954
2008-04-01,69.333298,73.599998,66.400002,73.300003,47.686161,254279577
2008-05-01,109.949997,113.025002,67.183296,72.583298,47.219898,309975150
2008-06-01,73.066704,75.000000,60.333302,62.599998,40.725147,331826220
2008-07-01,62.200001,66.566704,52.216702,62.266701,40.508320,396512241
2008-08-01,62.349998,95.500000,59.933300,62.900002,43.785702,219825279
2008-09-01,62.666698,96.875000,59.000000,62.683300,43.634850,318779292
2008-10-01,63.333302,96.324997,44.016701,51.716702,36.000832,559775103
